,apex_bull_raging,is_50_sma_above_200_sma,is_sma_50_upwards,apex_bull_appear,apex_bull_uptrend,apex_bear_raging,apex_bear_appear,apex_bear_downtrend
2020-09-30,84,True,True,120,100,120,100,106
2020-10-31,106,False,True,94,98,106,104,96
2020-11-30,108,False,False,96,98,88,104,100
2020-12-31,108,True,True,110,96,98,100,96
2021-01-31,84,True,False,96,98,88,100,98
2021-02-28,76,False,False,114,102,122,100,104
2021-03-31,104,False,False,94,104,108,104,94
2021-04-30,100,True,False,114,100,104,102,94
2021-05-31,98,True,True,100,96,114,98,94
2021-06-30,108,False,False,94,104,112,98,102
2021-07-31,100,True,False,140,100,96,104,86
2021-08-31,114,True,False,102,104,102,98,102
2021-09-30,120,False,False,104,94,84,98,102
2021-10-31,136,False,False,116,104,114,100,108
2021-11-30,120,False,True,94,100,116,100,96
2021-12-31,90,False,False,96,102,94,102,106
2022-01-31,126,False,True,118,102,88,100,92
2022-02-28,100,False,False,76,102,78,100,100
2022-03-31,106,True,True,120,94,102,100,108
2022-04-30,98,True,True,104,96,106,100,102
2022-05-31,102,True,False,132,96,110,98,84
2022-06-30,92,False,False,92,98,90,104,106
2022-07-31,94,True,True,84,100,84,108,112
2022-08-31,98,False,False,112,98,92,108,112
2022-09-30,102,True,False,112,98,120,100,108
2022-10-31,102,False,False,104,100,98,94,94
2022-11-30,132,True,True,94,92,86,98,92
2022-12-31,96,True,True,92,98,100,104,82
2023-01-31,92,False,False,120,86,104,102,98
2023-02-28,94,False,False,100,100,94,94,84
2023-03-31,92,False,True,118,92,82,104,94
2023-04-30,126,False,True,90,102,106,98,88
2023-05-31,100,True,True,112,102,90,102,98
2023-06-30,82,False,False,98,100,134,100,96
2023-07-31,120,False,True,90,96,112,98,96
2023-08-31,108,True,True,82,98,96,100,88
2023-09-30,106,False,False,98,96,104,100,106
2023-10-31,118,True,False,104,98,82,100,104
2023-11-30,110,True,False,104,102,102,108,80
2023-12-31,106,False,False,88,96,108,100,96
2024-01-31,104,True,False,102,100,106,104,98
2024-02-29,114,False,True,86,94,134,108,104
2024-03-31,110,True,True,114,100,104,100,100
2024-04-30,104,False,True,108,100,110,100,88
2024-05-31,100,False,True,110,96,92,100,96
2024-06-30,118,True,False,96,100,94,100,98
2024-07-31,94,True,True,92,92,90,100,94
2024-08-31,102,True,False,98,110,94,104,98
